Problem                  N        Best S      Known       Diff Status
33_4_in_3                33     7.983705   9.618000  -1.634295 NEW_BEST
34_3_in_4                34     5.772912   4.090880  +1.682032 worse_than_best_known
34_3_in_5                34     5.777670   3.110730  +2.666940 worse_than_best_known
34_4_in_3                34     8.050212   9.618000  -1.567788 NEW_BEST
35_3_in_4                35     5.862129   4.141230  +1.720899 worse_than_best_known
35_3_in_5                35     5.869101   3.148430  +2.720671 worse_than_best_known
35_4_in_3                35     8.159959   9.773000  -1.613041 NEW_BEST
36_3_in_4                36     5.946391   4.207910  +1.738481 worse_than_best_known
36_3_in_5                36     5.970876   3.174730  +2.796146 worse_than_best_known
36_4_in_3                36     8.117069   9.773000  -1.655931 NEW_BEST
37_3_in_3                37     6.481809   6.333000  +0.148809 worse_than_best_known
37_3_in_4                37     6.041209   4.268800  +1.772409 worse_than_best_known
37_3_in_5                37     6.036979   3.211200  +2.825779 worse_than_best_known
37_4_in_3                37     8.291927  10.152990  -1.861063 NEW_BEST
38_3_in_3                38     6.659767   6.428230  +0.231537 worse_than_best_known
38_3_in_4                38     6.096147   4.320180  +1.775967 worse_than_best_known
38_3_in_5                38     6.117636   3.248510  +2.869126 worse_than_best_known
38_4_in_3                38     8.417833  10.304000  -1.886167 NEW_BEST
39_3_in_3                39     6.812285   6.500000  +0.312285 worse_than_best_known
39_3_in_4                39     6.200557   4.367920  +1.832637 worse_than_best_known
39_3_in_5                39     6.214127   3.292190  +2.921937 worse_than_best_known
39_4_in_3                39     8.553492  10.309400  -1.755908 NEW_BEST
3_3_in_4                 3      1.810660   1.478000  +0.332660 worse_than_best_known
3_3_in_5                 3      1.684843   1.143000  +0.541843 worse_than_best_known
3_3_in_circle            3      1.679779   0.953000  +0.726779 worse_than_best_known
3_4_in_3                 3      2.638960   3.232000  -0.593040 NEW_BEST
3_6_in_4                 3      2.469188   3.491000  -1.021812 NEW_BEST
3_6_in_5                 3      2.333187   2.742800  -0.409613 NEW_BEST
3_6_in_8                 3      2.098930   1.606400  +0.492530 worse_than_best_known
3_8_in_5                 3      2.437654   3.744110  -1.306456 NEW_BEST
40_3_in_4                40     6.278678   4.410580  +1.868098 worse_than_best_known
40_3_in_5                40     6.280310   3.326050  +2.954260 worse_than_best_known
40_4_in_3                40     8.670266  10.464100  -1.793834 NEW_BEST
41_3_in_3                41     6.864964   6.666000  +0.198964 worse_than_best_known
41_3_in_4                41     6.369683   4.464460  +1.905223 worse_than_best_known
41_3_in_5                41     6.404707   3.367400  +3.037307 worse_than_best_known
41_4_in_3                41     8.744919  10.618800  -1.873881 NEW_BEST
42_3_in_3                42     6.941599   6.750000  +0.191599 worse_than_best_known
42_3_in_4                42     6.443025   4.511770  +1.931255 worse_than_best_known
42_3_in_5                42     6.456784   3.425050  +3.031734 worse_than_best_known
42_4_in_3                42     8.740215  10.618800  -1.878585 NEW_BEST
43_3_in_3                43     6.993288   6.800000  +0.193288 worse_than_best_known
43_3_in_4                43     6.556040   4.550350  +2.005690 worse_than_best_known
43_3_in_5                43     6.538475   3.464330  +3.074145 worse_than_best_known
43_4_in_3                43     8.912949  10.773500  -1.860551 NEW_BEST
44_3_in_3                44     7.003878   6.930760  +0.073118 worse_than_best_known
44_3_in_4                44     6.621797   4.600230  +2.021567 worse_than_best_known
44_3_in_5                44     6.581967   3.521400  +3.060567 worse_than_best_known
45_3_in_3                45     7.143501   6.959220  +0.184281 worse_than_best_known
45_3_in_4                45     6.744502   4.677490  +2.067012 worse_than_best_known
45_3_in_5                45     6.720238   3.512610  +3.207628 worse_than_best_known
46_3_in_3                46     7.342112   6.998370  +0.343742 worse_than_best_known
46_3_in_4                46     6.938158   4.729650  +2.208508 worse_than_best_known
46_3_in_5                46     6.867681   3.614910  +3.252771 worse_than_best_known
47_3_in_4                47     6.813979   4.782040  +2.031939 worse_than_best_known
47_3_in_5                47     6.903852   3.658790  +3.245062 worse_than_best_known
48_3_in_4                48     7.035780   4.826320  +2.209460 worse_than_best_known
48_3_in_5                48     6.988400   3.676050  +3.312350 worse_than_best_known
49_3_in_5                49     7.146642   3.722960  +3.423682 worse_than_best_known
4_3_in_4                 4      1.939642   1.577000  +0.362642 worse_than_best_known
4_3_in_5                 4      1.939399   1.199000  +0.740399 worse_than_best_known
4_3_in_8                 4      1.939642   0.777310  +1.162332 worse_than_best_known
4_3_in_circle            4      1.939433   0.980000  +0.959433 worse_than_best_known
4_4_in_3                 4      3.392305   4.154000  -0.761695 NEW_BEST
4_6_in_4                 4      2.633975   3.725000  -1.091025 NEW_BEST
4_6_in_5                 4      2.564899   3.015200  -0.450301 NEW_BEST
4_6_in_8                 4      2.294695   1.756300  +0.538395 worse_than_best_known
4_8_in_5                 4      2.670167   4.101250  -1.431083 NEW_BEST
50_3_in_3                50     7.740358   7.327320  +0.413038 worse_than_best_known
50_3_in_5                50     7.268860   3.759880  +3.508980 worse_than_best_known
5_3_in_4                 5      2.208603   1.803000  +0.405603 worse_than_best_known
5_3_in_5                 5      2.168474   1.240000  +0.928474 worse_than_best_known
5_4_in_3                 5      3.518618   4.309000  -0.790382 NEW_BEST
5_4_in_5                 5      2.347367   1.951000  +0.396367 worse_than_best_known
5_6_in_4                 5      3.138803   4.437000  -1.298197 NEW_BEST
5_6_in_5                 5      2.739507   3.219700  -0.480193 NEW_BEST
5_6_in_6                 5      2.666628   2.667000  -0.000372 NEW_BEST
5_6_in_8                 5      2.596198   1.987100  +0.609098 worse_than_best_known
5_8_in_5                 5      2.824410   4.333000  -1.508590 NEW_BEST
6_3_in_3                 6      2.977160   2.977000  +0.000160 worse_than_best_known
6_3_in_4                 6      2.376392   1.901000  +0.475392 worse_than_best_known
6_3_in_5                 6      2.375269   1.393000  +0.982269 worse_than_best_known
6_4_in_3                 6      3.518692   4.309000  -0.790308 NEW_BEST
6_4_in_5                 6      2.629183   2.185000  +0.444183 worse_than_best_known
6_4_in_8                 6      2.481830   1.343140  +1.138690 worse_than_best_known
6_5_in_4                 6      3.227779   3.882990  -0.655211 NEW_BEST
6_5_in_6                 6      2.730781   2.322900  +0.407881 worse_than_best_known
6_6_in_4                 6      3.403908   4.813000  -1.409092 NEW_BEST
6_6_in_5                 6      3.021039   3.549500  -0.528461 NEW_BEST
6_6_in_8                 6      2.827877   2.164400  +0.663477 worse_than_best_known
6_8_in_5                 6      3.105929   4.770070  -1.664141 NEW_BEST
7_3_in_4                 7      2.565905   2.000000  +0.565905 worse_than_best_known
7_3_in_5                 7      2.565584   1.581000  +0.984584 worse_than_best_known
7_3_in_circle            7      2.565929   1.152000  +1.413929 worse_than_best_known
7_4_in_3                 7      4.208798   5.154000  -0.945202 NEW_BEST
7_4_in_5                 7      2.913231   2.421000  +0.492231 worse_than_best_known
7_4_in_8                 7      2.655042   1.436900  +1.218142 worse_than_best_known
7_6_in_5                 7      3.234517   3.797500  -0.562983 NEW_BEST
7_8_in_5                 7      3.422332   5.255440  -1.833108 NEW_BEST
8_3_in_4                 8      2.742752   2.098000  +0.644752 worse_than_best_known
8_3_in_5                 8      2.742926   1.659000  +1.083926 worse_than_best_known
8_3_in_circle            8      2.743368   1.263000  +1.480368 worse_than_best_known
8_4_in_3                 8      4.334039   5.301000  -0.966961 NEW_BEST
8_4_in_6                 8      3.046099   2.153800  +0.892299 worse_than_best_known
8_4_in_8                 8      2.904451   1.569620  +1.334831 worse_than_best_known
8_5_in_4                 8      3.645147   4.381900  -0.736753 NEW_BEST
8_6_in_5                 8      3.529530   4.149200  -0.619670 NEW_BEST
8_6_in_6                 8      3.314477   3.314000  +0.000477 worse_than_best_known
8_6_in_8                 8      3.147778   2.407900  +0.739878 worse_than_best_known
8_8_in_5                 8      3.659153   5.616620  -1.957467 NEW_BEST
9_3_in_4                 9      2.910254   2.287000  +0.623254 worse_than_best_known
9_3_in_5                 9      2.909317   1.767000  +1.142317 worse_than_best_known
9_3_in_8                 9      2.909556   1.008710  +1.900846 worse_than_best_known
9_3_in_circle            9      2.909771   1.314000  +1.595771 worse_than_best_known
9_4_in_3                 9      4.335524   5.309000  -0.973476 NEW_BEST
9_6_in_4                 9      3.901924   5.518000  -1.616076 NEW_BEST
9_6_in_5                 9      3.695572   4.343100  -0.647528 NEW_BEST
9_6_in_6                 9      3.628936   3.628000  +0.000936 worse_than_best_known
9_6_in_8                 9      3.453922   2.626700  +0.827222 worse_than_best_known
9_8_in_5                 9      3.894296   5.965800  -2.071504 NEW_BEST
